# id_tile ra dec pos isky texp texp_ob tob_len irank ntile
      -77    84.1205  -13.6863   333.69  1  20.28 20.28  23.31  1  1 
      -79   339.5900  -32.6120   197.39  1  20.95 20.95  23.99  1  1 
      -80   185.6834  -40.1102   204.40  3  10.37 53.44  64.07  1  4 
      -83   185.6834  -40.1102   204.40  3   8.82 53.44  64.07  2  4 
      -81   185.6834  -40.1102   204.40  3  20.41 53.44  64.07  3  4 
      -82   185.6834  -40.1102   204.40  3  13.84 53.44  64.07  4  4 
      -84   111.9997  -72.8140   153.10  1  20.04 20.04  23.07  1  1 
      -86   190.2968   -0.7410     1.51  1  20.50 20.50  23.54  1  1 
      -87   228.4990  -39.3405   168.61  1  20.97 20.97  24.01  1  1 
      -88   354.3690  -39.9752   172.55  2  18.23 18.23  21.27  1  1 
      -89   221.6707  -14.9138     2.71  1  20.34 20.34  23.37  1  1 
      -90   198.1214  -24.0090   359.52  1  20.02 20.02  23.05  1  1 
      -92   173.9217  -67.1098   187.32  3   8.33  8.33  11.36  1  1 
      -96    20.3347   -9.7700   337.72  2  18.11 36.32  41.88  1  2 
   -12447    20.3347   -9.7700   337.72  2  18.21 36.32  41.88  2  2 
      -97   216.0281   -9.2863   331.25  3  10.03 10.03  13.06  1  1 
      -98   148.9025  -28.3481   175.02  4   7.83 12.59  18.16  1  2 
   -16192   148.9025  -28.3481   175.02  4   4.76 12.59  18.16  2  2 
      -99    96.9636  -64.0828   177.03  1  20.45 20.45  23.48  1  1 
     -100    91.2556  -28.8794   201.73  2  16.21 33.97  39.53  1  2 
   -36307    91.2556  -28.8794   201.73  2  17.76 33.97  39.53  2  2 
     -101   326.4691  -63.4925   209.63  4   7.82 45.13  68.43  1  9 
   -16213   326.4691  -63.4925   209.63  4   6.22 45.13  68.43  2  9 
    -8854   326.4691  -63.4925   209.63  4   4.31 45.13  68.43  3  9 
   -20585   326.4691  -63.4925   209.63  4   4.35 45.13  68.43  4  9 
   -28772   326.4691  -63.4925   209.63  4   4.48 45.13  68.43  5  9 
   -13684   326.4691  -63.4925   209.63  4   4.44 45.13  68.43  6  9 
    -2440   326.4691  -63.4925   209.63  4   4.23 45.13  68.43  7  9 
   -38846   326.4691  -63.4925   209.63  4   5.04 45.13  68.43  8  9 
   -40954   326.4691  -63.4925   209.63  4   4.23 45.13  68.43  9  9 
     -102   115.9037  -26.6183   172.50  3   7.78 26.89  32.46  1  2 
    -8346   115.9037  -26.6183   172.50  3  19.11 26.89  32.46  2  2 
     -103   187.0644  -65.7828   191.32  1  20.89 20.89  23.92  1  1 
     -104   141.0696  -18.4834   334.33  1  20.42 20.42  23.45  1  1 
     -105   343.3250  -34.2173   183.24  1  20.76 20.76  23.80  1  1 
     -106   164.7320    1.1171   330.09  1  20.89 20.89  23.92  1  1 
     -107   258.9325  -26.5720   167.64  1  20.64 20.64  23.68  1  1 
     -109    96.4784  -46.1957   170.50  2  18.30 18.30  21.33  1  1 
     -111   177.5824  -56.4996   180.02  2  19.65 19.65  22.69  1  1 
     -112   308.8040  -67.2200   192.94  3   8.36  8.36  11.39  1  1 
     -113   194.5058  -25.8557   180.64  1  20.43 20.43  23.46  1  1 
     -115    15.4048  -53.3022   157.80  2  19.09 19.09  22.13  1  1 
     -117   320.7517  -48.4054   152.92  3  13.33 13.33  16.37  1  1 
     -118   194.2839  -13.2584   348.60  2  18.53 18.53  21.56  1  1 
     -119   324.9973  -21.7059     8.78  2  17.70 17.70  20.74  1  1 
     -120   211.5299  -61.5768   170.76  4   4.16  4.16   7.19  1  1 
     -121    32.6084   -0.0394    21.13  1  20.05 20.05  23.09  1  1 
     -122    84.7466  -58.7855   201.29  2  15.25 15.25  18.29  1  1 
     -124   183.4993  -32.6042   191.28  1  20.10 20.10  23.14  1  1 
     -125   262.8298   -0.0250    27.35  2  15.01 34.48  40.04  1  2 
     -370   262.8298   -0.0250    27.35  2  19.46 34.48  40.04  2  2 
     -126   243.6211  -44.0744   206.61  1  20.46 20.46  23.50  1  1 
     -128    47.1704   -5.6236   357.86  1  20.70 20.70  23.74  1  1 
     -129   136.0544  -41.0602   158.19  3   7.68 27.52  33.09  1  2 
     -130   136.0544  -41.0602   158.19  3  19.84 27.52  33.09  2  2 
     -133   113.3248   -2.1303    13.06  3   7.56  7.56  10.60  1  1 
     -136   203.9466  -37.0899   157.55  1  20.47 40.87  46.43  1  2 
    -2213   203.9466  -37.0899   157.55  1  20.40 40.87  46.43  2  2 
     -137    29.1502  -33.1283   155.20  3  10.39 48.51  61.68  1  5 
     -138    29.1502  -33.1283   155.20  3   7.45 48.51  61.68  2  5 
     -139    29.1502  -33.1283   155.20  3   8.19 48.51  61.68  3  5 
     -140    29.1502  -33.1283   155.20  3   9.31 48.51  61.68  4  5 
    -6600    29.1502  -33.1283   155.20  3  13.18 48.51  61.68  5  5 
     -142   150.1244    2.0074   332.82  1  20.85 41.75  47.31  1  2 
   -12237   150.1244    2.0074   332.82  1  20.89 41.75  47.31  2  2 
     -144   135.8003  -29.8800   187.27  1  20.13 20.13  23.17  1  1 
     -145   316.6459  -51.2707   160.59  3  11.39 46.61  57.24  1  4 
   -40138   316.6459  -51.2707   160.59  3  19.77 46.61  57.24  2  4 
   -40139   316.6459  -51.2707   160.59  3   7.17 46.61  57.24  3  4 
   -40137   316.6459  -51.2707   160.59  3   8.27 46.61  57.24  4  4 
     -147    74.5355   -0.0797   330.91  3  20.19 29.49  35.05  1  2 
     -148    74.5355   -0.0797   330.91  3   9.30 29.49  35.05  2  2 
     -150   341.6530  -29.7845   187.85  3  14.36 60.68  71.32  1  4 
   -18084   341.6530  -29.7845   187.85  3  11.84 60.68  71.32  2  4 
   -39145   341.6530  -29.7845   187.85  3  17.23 60.68  71.32  3  4 
   -39146   341.6530  -29.7845   187.85  3  17.25 60.68  71.32  4  4 
     -151   113.5644   -1.9895     9.32  3   8.22 15.23  20.80  1  2 
   -24350   113.5644   -1.9895     9.32  3   7.02 15.23  20.80  2  2 
     -152   305.6759  -64.0288   153.79  1  20.00 20.00  23.04  1  1 
     -153    21.1645   -7.1554    24.01  3   7.60  7.60  10.64  1  1 
     -154   221.7306  -13.0230     0.67  3  14.22 14.22  17.26  1  1 
     -155   201.3822  -54.6818   191.28  3  15.13 15.13  18.16  1  1 
     -156   228.5697  -33.6665   192.77  3  19.42 27.64  33.21  1  2 
     -158   228.5697  -33.6665   192.77  3   8.22 27.64  33.21  2  2 
     -159    59.6602  -18.9619   339.94  1  20.33 20.33  23.36  1  1 
     -160   240.5872  -35.6645   185.85  3   7.30 33.20  41.30  1  3 
     -161   240.5872  -35.6645   185.85  3  10.52 33.20  41.30  2  3 
     -162   240.5872  -35.6645   185.85  3  15.39 33.20  41.30  3  3 
     -163   278.3845   -6.1014   345.66  3   8.74  8.74  11.78  1  1 
     -164   171.2474  -63.1983   207.96  3  18.14 18.14  21.17  1  1 
     -165   357.9265  -78.9622   202.71  1  20.64 20.64  23.67  1  1 
     -166   359.0168  -21.4716    10.34  2  18.89 18.89  21.93  1  1 
     -167   351.9123  -50.6089   157.02  1  20.35 20.35  23.38  1  1 
     -168    16.7101    0.6864     5.26  2  15.00 15.00  18.04  1  1 
     -169   344.4684   -0.6345   351.52  2  15.55 34.45  40.02  1  2 
     -171   344.4684   -0.6345   351.52  2  18.90 34.45  40.02  2  2 
     -170   160.1795  -33.1142   152.67  1  20.25 20.25  23.28  1  1 
     -172   118.3962  -37.7087   170.77  3  13.44 39.28  47.38  1  3 
     -175   118.3962  -37.7087   170.77  3  18.77 39.28  47.38  2  3 
     -174   118.3962  -37.7087   170.77  3   7.06 39.28  47.38  3  3 
     -173    40.9508  -70.4633   205.08  3   8.10  8.10  11.13  1  1 
     -176   355.1546  -56.1098   181.85  1  20.03 20.03  23.06  1  1 
     -177    69.5703   -7.2162    10.41  1  20.37 20.37  23.40  1  1 
     -178   262.7716  -17.0648   358.93  1  20.40 20.40  23.43  1  1 
     -179   232.5544  -63.7157   207.18  3   9.68  9.68  12.71  1  1 
     -180    25.2804   -2.2876   335.34  2  19.50 19.50  22.53  1  1 
     -182    44.5283  -43.4321   188.12  1  20.87 20.87  23.90  1  1 
     -184   253.4361  -29.4234   209.71  2  18.64 18.64  21.67  1  1 
     -185   199.5774  -33.7864   205.82  1  20.14 20.14  23.18  1  1 
     -186   119.0720  -32.1735   202.77  3  13.56 13.56  16.59  1  1 
     -187   160.6360   -2.9523   354.91  1  20.97 20.97  24.01  1  1 
     -188   233.7825  -71.0036   153.09  3   9.10  9.10  12.13  1  1 
     -190   237.8169  -26.9878   159.10  3  19.41 38.96  47.06  1  3 
